DATE,CPIAUCSL,GDPDEF,PPIACO
1/1/13,.,.,12.03333333
4/1/13,.,.,11.93333333
7/1/13,.,.,12.06666667
10/1/13,.,.,12.06666667
1/1/14,.,.,11.76666667
4/1/14,.,.,11.63333333
7/1/14,.,.,11.9
10/1/14,.,.,11.66666667
1/1/15,.,.,11.8
4/1/15,.,.,11.83333333
7/1/15,.,.,11.83333333
10/1/15,.,.,12.4
1/1/16,.,.,13.56666667
4/1/16,.,.,14.2
7/1/16,.,.,14.7
10/1/16,.,.,16.53333333
1/1/17,.,.,18.03333333
4/1/17,.,.,20.5
7/1/17,.,.,21.33333333
10/1/17,.,.,21.16666667
1/1/18,.,.,21.5
4/1/18,.,.,22.13333333
7/1/18,.,.,23.2
10/1/18,.,.,23.5
1/1/19,.,.,22.73333333
4/1/19,.,.,23.2
7/1/19,.,.,24.5
10/1/19,.,.,25.1
1/1/20,.,.,27.2
4/1/20,.,.,28.66666667
7/1/20,.,.,27.73333333
10/1/20,.,.,22.9
1/1/21,.,.,18.46666667
4/1/21,.,.,16.56666667
7/1/21,.,.,16.1
10/1/21,.,.,16.13333333
1/1/22,.,.,15.9
4/1/22,.,.,16.43333333
7/1/22,.,.,17.06666667
10/1/22,.,.,17.26666667
1/1/23,.,.,17.8
4/1/23,.,.,17.56666667
7/1/23,.,.,17.03333333
10/1/23,.,.,17
1/1/24,.,.,17.13333333
4/1/24,.,.,16.53333333
7/1/24,.,.,16.63333333
10/1/24,.,.,17.16666667
1/1/25,.,.,17.83333333
4/1/25,.,.,17.56666667
7/1/25,.,.,17.9
10/1/25,.,.,17.86666667
1/1/26,.,.,17.56666667
4/1/26,.,.,17.3
7/1/26,.,.,17.13333333
10/1/26,.,.,17
1/1/27,.,.,16.5
4/1/27,.,.,16.23333333
7/1/27,.,.,16.4
10/1/27,.,.,16.63333333
1/1/28,.,.,16.53333333
4/1/28,.,.,16.73333333
7/1/28,.,.,16.86666667
10/1/28,.,.,16.56666667
1/1/29,.,.,16.5
4/1/29,.,.,16.4
7/1/29,.,.,16.6
10/1/29,.,.,16.2
1/1/30,.,.,15.7
4/1/30,.,.,15.26666667
7/1/30,.,.,14.5
10/1/30,.,.,14
1/1/31,.,.,13.26666667
4/1/31,.,.,12.63333333
7/1/31,.,.,12.36666667
10/1/31,.,.,12
1/1/32,.,.,11.46666667
4/1/32,.,.,11.13333333
7/1/32,.,.,11.2
10/1/32,.,.,10.96666667
1/1/33,.,.,10.4
4/1/33,.,.,10.8
7/1/33,.,.,12.03333333
10/1/33,.,.,12.26666667
1/1/34,.,.,12.6
4/1/34,.,.,12.76666667
7/1/34,.,.,13.16666667
10/1/34,.,.,13.23333333
1/1/35,.,.,13.66666667
4/1/35,.,.,13.8
7/1/35,.,.,13.83333333
10/1/35,.,.,13.93333333
1/1/36,.,.,13.83333333
4/1/36,.,.,13.63333333
7/1/36,.,.,13.96666667
10/1/36,.,.,14.23333333
1/1/37,.,.,14.93333333
4/1/37,.,.,15.1
7/1/37,.,.,15.13333333
10/1/37,.,.,14.4
1/1/38,.,.,13.83333333
4/1/38,.,.,13.5
7/1/38,.,.,13.5
10/1/38,.,.,13.36666667
1/1/39,.,.,13.26666667
4/1/39,.,.,13.06666667
7/1/39,.,.,13.16666667
10/1/39,.,.,13.66666667
1/1/40,.,.,13.6
4/1/40,.,.,13.46666667
7/1/40,.,.,13.4
10/1/40,.,.,13.7
